year,city,country,glo_avg_temp,jax_avg_temp,10_year_avg_temp,20_year_avg_temp
1743,Jacksonville,United States,8.72,17.55,,
1744,Jacksonville,United States,7.98,21.98,,
1745,Jacksonville,United States,5.78,16.35,,
1746,Jacksonville,United States,8.39,,,
1747,Jacksonville,United States,8.47,,,
1748,Jacksonville,United States,8.36,,,
1749,Jacksonville,United States,8.85,,,
1750,Jacksonville,United States,9.02,21.36,,
1751,Jacksonville,United States,6.74,21.65,,
1752,Jacksonville,United States,7.99,17.8,,
1753,Jacksonville,United States,7.19,21.01,19,
1754,Jacksonville,United States,8.77,21.07,20,
1755,Jacksonville,United States,8.61,19.67,20,
1756,Jacksonville,United States,7.5,21.42,20,
1757,Jacksonville,United States,8.4,20.85,21,
1758,Jacksonville,United States,8.25,19.54,21,
1759,Jacksonville,United States,8.41,20.57,20,
1760,Jacksonville,United States,8.22,19.49,20,
1761,Jacksonville,United States,6.78,21.39,20,
1762,Jacksonville,United States,7.69,20.97,20,
1763,Jacksonville,United States,7.69,19.36,21,20
1764,Jacksonville,United States,7.85,21.28,20,20
1765,Jacksonville,United States,8.19,20.99,20,20
1766,Jacksonville,United States,8.22,21.43,21,21
1767,Jacksonville,United States,8.77,20.63,21,21
1768,Jacksonville,United States,9.18,19.82,21,21
1769,Jacksonville,United States,8.3,20.77,21,21
1770,Jacksonville,United States,8.26,20.63,21,21
1771,Jacksonville,United States,8.54,21.39,21,21
1772,Jacksonville,United States,8.98,21.26,21,21
1773,Jacksonville,United States,9.43,21.33,21,21
1774,Jacksonville,United States,8.1,21.16,21,21
1775,Jacksonville,United States,7.9,21.86,21,21
1776,Jacksonville,United States,7.68,20.89,21,21
1777,Jacksonville,United States,7.86,20.62,21,21
1778,Jacksonville,United States,7.36,19.3,21,21
1779,Jacksonville,United States,8.26,16.63,21,21
1780,Jacksonville,United States,8.03,,21,21
1781,Jacksonville,United States,8.45,21.09,20,21
1782,Jacksonville,United States,8.33,20.66,20,21
1783,Jacksonville,United States,7.98,20.44,20,21
1784,Jacksonville,United States,8.23,20.49,20,21
1785,Jacksonville,United States,8.09,20.22,20,21
1786,Jacksonville,United States,8.23,20.78,20,21
1787,Jacksonville,United States,8.53,20.82,20,21
1788,Jacksonville,United States,8.35,21.24,20,21
1789,Jacksonville,United States,8.27,21.01,20,21
1790,Jacksonville,United States,8.51,20.9,21,21
1791,Jacksonville,United States,8.67,21.15,21,21
1792,Jacksonville,United States,8.51,20.68,21,21
1793,Jacksonville,United States,8.48,21.1,21,21
1794,Jacksonville,United States,8.59,21.24,21,21
1795,Jacksonville,United States,8.58,21.05,21,21
1796,Jacksonville,United States,8.5,20.84,21,21
1797,Jacksonville,United States,8.84,20.86,21,21
1798,Jacksonville,United States,8.56,21.49,21,21
1799,Jacksonville,United States,8.43,21.22,21,21
1800,Jacksonville,United States,8.28,21.05,21,21
